text,date
"Reinstalación del Sistema Nacional de Búsqueda, desde Palacio Nacional.","9 h
Hace 9 horas"
"Inauguración del estadio de béisbol 'Alfredo Harp Helú', desde Ciudad de México.",24 mar.
"Programa de mejoramiento urbano, desde Acapulco, Guerrero.",23 mar.
"Clausura de la 82 Convención Bancaria, desde Acapulco, Guerrero.",22 mar.
Ya empezamos a escribir el prólogo de la gran obra de transformación nacional. Conferencia matutina.,22 mar.
"Aniversario 213 del Natalicio de Benito Juárez, desde Guelatao, Oaxaca.",21 mar.
Se puede gobernar para el pueblo y con el pueblo. Conferencia de prensa matutina desde Palacio Nacional.,21 mar.
"Inicio de Colecta Nacional Cruz Roja Mexicana 2019, desde Palacio Nacional.",20 mar.
El gobierno sabrá estar a la altura de las circunstancias. Conferencia de prensa en vivo.,20 mar.
Que el pueblo siempre tenga las riendas del poder en sus manos. Conferencia de prensa matutina.,19 mar.
"Aniversario 81º de la Expropiación Petrolera, desde Tula, Hidalgo.",18 mar.
Seguiremos construyendo en armonía la Cuarta Transformación de la vida pública de México. Conferencia matutina.,18 mar.
Foro Nacional para la elaboración del Plan Nacional de Desarrollo.,17 mar.
Convertiremos a México en una potencia económica con dimensión social. Conferencia matutina.,15 mar.
Se impulsa el hábito del debate y se fortalece la pluralidad democrática. Conferencia de prensa en vivo.,14 mar.
"Les comparto la entrevista con Alejandro Villalvazo e Iñaki Manero, de Grupo ACIR. http://bit.ly/2O4JOMK ",14 mar.
"No fue casual que, durante mucho tiempo, la corrupción no se considerara delito grave. Conferencia matutina.",13 mar.
"Platicamos con el presidente electo de El Salvador, Nayib Bukele, sobre la cooperación para el desarrollo como opción para atemperar el fenómeno migratorio.",12 mar.
Recibí en Palacio Nacional a integrantes del Comité Judío Americano. Tratamos temas de cooperación económica y amistad entre nuestros pueblos.,12 mar.
Promovemos el diálogo abierto y circular. Conferencia de prensa matutina.,12 mar.
"Informe por los primeros 100 días de gobierno, desde Palacio Nacional.",11 mar.
"Luchamos por la transformación de México, por ideales, por principios. Conferencia de prensa en vivo.",11 mar.
"'Programas Integrales de Bienestar', desde Puebla, Puebla.",10 mar.
"En Guadalajara informamos que ya recibieron pensión, correspondiente a enero y febrero, más de 400 mil adultos mayores de Jalisco.",10 mar.
"Apoyo a productores y precios de garantía, desde Encarnación de Díaz, Jalisco.",9 mar.
El reconocimiento de los derechos humanos de las mujeres es la base de un estado democrático.,8 mar.
Hoy conmemoramos la lucha de las mujeres por la igualdad y contra la violencia. Conferencia de prensa en vivo.,8 mar.
"En 2005, cuando fui jefe de Gobierno, inaugurando el Metrobús en la Ciudad de México.",7 mar.
"Se atenderá a todos, sin importar creencias, organizaciones, partidos, sectores económicos o culturales.",7 mar.
Ya están disponibles en Spotify nuestras conferencias de prensa matutinas.,7 mar.
"Estamos por el diálogo, la diversidad y el respeto a los derechos humanos. Conferencia de prensa en vivo.",6 mar.
El agua de coco tiene muchas propiedades. Dirían en mi pueblo: ¡Ay mojo maistro! Ni que fuera político corrupto.,5 mar.
Conferencia de prensa matutina desde Palacio Nacional.,5 mar.
El poder atonta a los inteligentes y a los tontos los vuelve locos. Conferencia de prensa en vivo.,4 mar.
"Programa de mejoramiento urbano, desde Los Cabos, Baja California Sur.",3 mar.
"Hoy estuvimos en Chihuahua y Hermosillo, Sonora. Los Programas Integrales de Bienestar empiezan a ser hechos y no palabras.",3 mar.
"'Tandas para el Bienestar', desde Chihuahua, Chihuahua.",2 mar.
La transparencia es la regla de oro de la democracia. Conferencia de prensa matutina.,1 mar.
Tenemos que apoyar y proteger a nuestros paisanos en el extranjero. Conferencia de prensa en vivo.,28 feb.
"Es importante ser honrado, pero es más importante ser honesto. Conferencia de prensa en vivo.",27 feb.
